year,tests_taken,avg_scale_score,unsatisfactory_percent,approaches_to_meets_percent,advanced_percent,unsatisfactory_count,approaches_to_meets_count,advanced_count
2025,455623,4051,24,47,29,109333,215214,131076
2024,467453,4009,21,54,25,98678,251569,117206
2023,476740,3995,22,54,24,103868,256416,116456
2022,473672,4004,26,44,30,125168,207755,140749
2021,396272,3933,28,49,23,112059,192317,91896
2019,416354,4190,16,45,39,67437,184804,164113
2018,420255,4108,17,49,34,70342,209028,140885
2017,433496,4038,18,55,27,77102,238579,117815
2016,391110,4009,19,56,25,75595,216698,98817
2015,392922,3942,19,60,21,76377,232671,83874
2014,388672,3902,19,63,18,73975,245252,69445
2013,364613,3874,22,62,16,78535,227776,58302
2012,333589,3903,17,66,17,57679,220066,55844
