subject,year,tests_taken,avg_scale_score,unsatisfactory_percent,approaches_to_meets_percent,advanced_percent,unsatisfactory_count,approaches_to_meets_count,advanced_count
Algebra_I,2026,447975,4112,18,52,30,80093,233002,134880
Algebra_I,2025,455623,4051,24,47,29,109333,215214,131076
Algebra_I,2024,467453,4009,21,54,25,98678,251569,117206
Algebra_I,2023,476740,3995,22,54,24,103868,256416,116456
Algebra_I,2022,473672,4004,26,44,30,125168,207755,140749
Algebra_I,2021,396272,3933,28,49,23,112059,192317,91896
Algebra_I,2019,416354,4190,16,45,39,67437,184804,164113
Algebra_I,2018,420255,4108,17,49,34,70342,209028,140885
Algebra_I,2017,433496,4038,18,55,27,77102,238579,117815
Algebra_I,2016,391110,4009,19,56,25,75595,216698,98817
Algebra_I,2015,392922,3942,19,60,21,76377,232671,83874
Algebra_I,2014,388672,3902,19,63,18,73975,245252,69445
Algebra_I,2013,364613,3874,22,62,16,78535,227776,58302
Algebra_I,2012,333589,3903,17,66,17,57679,220066,55844
Biology,2026,416984,4327,7,58,35,27159,244641,145184
Biology,2025,423312,4151,9,70,21,39021,296640,87651
Biology,2024,439219,4122,9,72,19,41532,314935,82752
Biology,2023,461494,4118,11,67,22,53036,309088,99370
Biology,2022,446155,4122,18,59,23,78166,267328,100661
Biology,2021,392222,4116,19,59,22,74920,232033,85269
Biology,2019,409371,4199,12,62,26,49963,253464,105944
Biology,2018,410500,4167,13,63,24,55220,255071,100209
Biology,2017,403989,4125,15,64,21,58687,259581,85721
Biology,2016,362900,4139,9,71,20,33441,257270,72189
Biology,2015,352313,4102,8,74,18,29353,258886,64074
Biology,2014,359669,4010,9,79,12,33950,283955,41764
Biology,2013,358797,3976,15,73,12,52841,261492,44464
Biology,2012,319072,3927,13,78,9,41407,248777,28888
English_I,2026,464818,4062,28,59,13,131979,270671,62168
English_I,2025,483644,4039,34,50,16,163255,245090,75299
English_I,2024,488005,4069,33,50,17,162121,243030,82854
English_I,2023,517385,4054,29,57,14,151876,292270,73239
English_I,2022,499921,3971,37,52,11,186590,258881,54450
English_I,2021,415929,4003,34,54,12,142414,221964,51551
English_I,2019,467850,3978,37,51,12,170905,240977,55968
English_I,2018,474424,3913,40,53,7,189341,249845,35238
English_I,2017,479552,3922,40,52,8,193717,248110,37725
English_I,2016,431972,3942,37,55,8,160068,237724,34180
English_I,2015,418457,3941,37,55,8,155219,227816,35422
English_I,2014,469913,3906,38,56,6,177075,264219,28619
English_II,2026,447273,4082,28,63,9,123929,281988,41356
English_II,2025,464246,4061,29,62,9,134100,290679,39467
English_II,2024,464030,4093,26,65,9,119060,304896,40074
English_II,2023,469426,4064,26,65,9,123236,304903,41287
English_II,2022,441811,4081,29,62,9,128704,274414,38693
English_II,2021,393559,4080,30,59,11,117340,233543,42676
English_II,2019,445466,4017,33,59,8,145518,263376,36572
English_II,2018,445287,3984,34,58,8,153170,254981,37136
English_II,2017,435855,3950,38,56,6,164150,243410,28295
English_II,2016,399897,3969,34,59,7,134693,235696,29508
English_II,2015,380091,3952,34,61,5,128399,233670,18022
English_II,2014,386484,3966,34,60,6,131612,233153,21719
US_History,2026,390413,4270,7,56,37,26687,218091,145635
US_History,2025,393624,4282,6,57,37,22346,223951,147327
US_History,2024,388340,4266,5,58,37,17786,227027,143527
US_History,2023,380319,4269,5,56,39,19155,212587,148577
US_History,2022,380591,4312,11,45,44,40432,171373,168786
US_History,2021,347885,4301,12,45,43,42109,154959,150817
US_History,2019,360061,4352,7,46,47,25080,166469,168512
US_History,2018,356959,4311,8,50,42,28516,178726,149717
US_History,2017,352038,4241,8,55,37,29673,193228,129137
US_History,2016,340758,4199,6,64,30,22024,216826,101908
US_History,2015,325253,4130,9,63,28,30073,203326,91854
US_History,2014,315057,4034,8,76,16,25621,238386,51050
US_History,2013,7903,3753,27,66,7,2164,5199,540
US_History,2012,40681,3659,37,58,5,15070,23379,2232
